"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","createdBy (TECHNICAL INFO)"
"1","Aklagare.se","IN","http://aklagare.se http://www.aklagare.se https://aklagare.se https://www.aklagare.se","s:https|h:se|h:aklagare| s:https|h:se|h:aklagare|h:www| s:http|h:se|h:aklagare| s:http|h:se|h:aklagare|h:www|","https://www.aklagare.se","true","FINISHED","FINISHED","4","1516107565654","2018-01-16 13:59:25","1516107578668","2018-01-16 13:59:38","user via lru"
"6","Arvsfonden.se","IN","http://arvsfonden.se http://www.arvsfonden.se https://arvsfonden.se https://www.arvsfonden.se","s:https|h:se|h:arvsfonden| s:https|h:se|h:arvsfonden|h:www| s:http|h:se|h:arvsfonden| s:http|h:se|h:arvsfonden|h:www|","http://www.arvsfonden.se/kontakta-oss","true","FINISHED","FINISHED","0","1516107565681","2018-01-16 13:59:25","1516107578733","2018-01-16 13:59:38","user via lru"
"7","Av.se","IN","http://av.se http://www.av.se https://av.se https://www.av.se","s:https|h:se|h:av| s:https|h:se|h:av|h:www| s:http|h:se|h:av| s:http|h:se|h:av|h:www|","https://www.av.se/other-languages/","true","FINISHED","FINISHED","7","1516107565687","2018-01-16 13:59:25","1516107578791","2018-01-16 13:59:38","user via lru"
"4","Arkdes.se","IN","http://arkdes.se http://www.arkdes.se https://arkdes.se https://www.arkdes.se","s:https|h:se|h:arkdes| s:https|h:se|h:arkdes|h:www| s:http|h:se|h:arkdes| s:http|h:se|h:arkdes|h:www|","https://arkdes.se","true","FINISHED","FINISHED","1","1516107565672","2018-01-16 13:59:25","1516107578707","2018-01-16 13:59:38","user via lru"
"5","Arn.se","IN","http://arn.se http://www.arn.se https://arn.se https://www.arn.se","s:https|h:se|h:arn| s:https|h:se|h:arn|h:www| s:http|h:se|h:arn| s:http|h:se|h:arn|h:www|","http://arn.se/om-arn/","true","FINISHED","FINISHED","2","1516107565675","2018-01-16 13:59:25","1516107578723","2018-01-16 13:59:38","user via lru"
"2","Arbetsformedlingen.se","IN","http://arbetsformedlingen.se http://www.arbetsformedlingen.se https://arbetsformedlingen.se https://www.arbetsformedlingen.se","s:https|h:se|h:arbetsformedlingen| s:https|h:se|h:arbetsformedlingen|h:www| s:http|h:se|h:arbetsformedlingen| s:http|h:se|h:arbetsformedlingen|h:www|","https://www.arbetsformedlingen.se","true","FINISHED","FINISHED","3","1516107565662","2018-01-16 13:59:25","1516107578676","2018-01-16 13:59:38","user via lru"
"3","Arbetsgivarverket.se","IN","http://arbetsgivarverket.se http://www.arbetsgivarverket.se https://arbetsgivarverket.se https://www.arbetsgivarverket.se","s:https|h:se|h:arbetsgivarverket| s:https|h:se|h:arbetsgivarverket|h:www| s:http|h:se|h:arbetsgivarverket| s:http|h:se|h:arbetsgivarverket|h:www|","https://www.arbetsgivarverket.se","true","FINISHED","FINISHED","7","1516107565667","2018-01-16 13:59:25","1516107578684","2018-01-16 13:59:38","user via lru"
"8","Barnombudsmannen.se","IN","http://barnombudsmannen.se http://www.barnombudsmannen.se https://barnombudsmannen.se https://www.barnombudsmannen.se","s:https|h:se|h:barnombudsmannen| s:https|h:se|h:barnombudsmannen|h:www| s:http|h:se|h:barnombudsmannen| s:http|h:se|h:barnombudsmannen|h:www|","https://www.barnombudsmannen.se","true","FINISHED","FINISHED","2","1516107565690","2018-01-16 13:59:25","1516107578805","2018-01-16 13:59:38","user via lru"
"9","Bfn.se","IN","http://bfn.se http://www.bfn.se https://bfn.se https://www.bfn.se","s:https|h:se|h:bfn| s:https|h:se|h:bfn|h:www| s:http|h:se|h:bfn| s:http|h:se|h:bfn|h:www|","http://bfn.se/sv/skrivelser/hemstallan-om-lagandring","true","FINISHED","FINISHED","2","1516107565692","2018-01-16 13:59:25","1516107578852","2018-01-16 13:59:38","user via lru"
"10","Bolagsverket.se","IN","http://bolagsverket.se http://www.bolagsverket.se https://bolagsverket.se https://www.bolagsverket.se","s:https|h:se|h:bolagsverket| s:https|h:se|h:bolagsverket|h:www| s:http|h:se|h:bolagsverket| s:http|h:se|h:bolagsverket|h:www|","http://bolagsverket.se/ol/other","true","FINISHED","FINISHED","4","1516107565699","2018-01-16 13:59:25","1516107578915","2018-01-16 13:59:38","user via lru"
